Clave municipal,Municipio,ABUSO SEXUAL INFANTIL,FEMINICIDIO,HOMICIDIO DOLOSO,LESIONES DOLOSAS,ROBO A BANCOS,ROBO A CARGA PESADA,ROBO A CUENTAHABIENTES,ROBO A INT DE VEHICULOS,ROBO A NEGOCIO,ROBO A PERSONA,ROBO A VEHICULOS PARTICULARES,ROBO CASA HABITACION,ROBO DE AUTOPARTES,ROBO DE MOTOCICLETA,VIOLACION,VIOLENCIA INTRAFAMILIAR,Total general
1,ACATIC,5,1,0,19,0,1,0,1,3,2,12,12,0,15,0,19,90
2,ACATLÁN DE JUÁREZ,6,0,14,48,0,26,3,7,10,24,41,51,0,13,0,42,285
3,AHUALULCO DE MERCADO,4,0,0,36,0,2,0,1,3,5,8,6,0,10,1,15,91
4,AMACUECA,0,0,2,2,0,0,0,0,0,0,1,0,0,0,0,1,6
5,AMATITÁN,4,0,2,15,0,1,0,2,3,1,10,10,0,0,1,7,56
6,AMECA,11,2,3,73,0,1,10,22,33,35,36,62,2,33,2,125,450
7,SAN JUANITO DE ESCOBEDO,0,0,0,13,0,0,0,0,2,0,2,2,0,0,0,2,21
8,ARANDAS,17,0,3,96,0,2,1,7,20,12,58,30,0,41,0,48,335
9,EL ARENAL,6,0,2,37,0,3,0,8,27,8,29,49,0,3,2,15,189
10,ATEMAJAC DE BRIZUELA,0,0,2,2,0,0,0,0,0,1,1,0,0,0,0,2,8
11,ATENGO,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,1,7
12,ATENGUILLO,1,0,0,4,0,0,0,0,1,0,1,8,0,1,0,6,22
13,ATOTONILCO EL ALTO,9,0,3,53,0,0,0,6,24,8,25,19,0,42,0,23,212
14,ATOYAC,2,0,2,6,0,0,0,0,0,0,1,1,0,0,0,3,15
15,AUTLÁN DE NAVARRO,26,1,3,129,0,0,0,7,28,14,7,137,2,38,5,160,557
16,AYOTLÁN,4,1,3,13,0,0,0,0,4,4,7,5,0,10,2,11,64
17,AYUTLA,1,0,0,6,0,0,0,0,1,0,1,8,0,0,0,11,28
18,LA BARCA,14,0,3,66,0,8,0,11,22,23,41,39,1,15,3,29,275
19,BOLAÑOS,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,5,10
20,CABO CORRIENTES,5,0,3,5,0,0,0,1,2,1,4,3,1,1,0,8,34
21,CASIMIRO CASTILLO,7,0,8,7,0,0,0,0,4,0,1,9,1,0,0,5,42
22,CIHUATLÁN,23,1,5,76,0,0,0,4,14,5,19,58,0,9,4,23,241
23,ZAPOTLÁN EL GRANDE,26,0,12,132,0,9,9,45,69,42,94,100,3,65,6,92,704
24,COCULA,10,0,3,16,1,2,4,5,6,4,13,10,3,8,1,24,110
25,COLOTLÁN,7,0,3,37,0,0,0,3,12,5,7,23,2,2,0,19,120
26,CONCEPCIÓN DE BUENOS AIRES,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,3
27,CUAUTITLÁN DE GARCÍA BARRAGÁN,3,0,11,14,0,0,0,0,1,0,1,4,0,0,0,7,41
28,CUAUTLA,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,3
29,CUQUÍO,3,0,0,8,0,0,0,0,3,0,2,10,0,1,0,6,33
30,CHAPALA,13,0,16,120,0,1,1,14,46,24,85,144,8,7,2,50,531
31,CHIMALTITÁN,0,0,2,3,0,0,0,0,1,0,1,0,0,0,0,1,8
32,CHIQUILISTLÁN,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
33,DEGOLLADO,1,0,1,12,0,1,0,3,4,2,12,12,0,2,0,3,53
34,EJUTLA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35,ENCARNACIÓN DE DÍAZ,8,0,13,34,0,1,0,1,17,3,31,16,1,22,2,13,162
36,ETZATLÁN,3,0,1,15,0,0,0,0,4,1,4,6,0,0,1,8,43
37,EL GRULLO,6,1,0,21,0,0,0,2,1,1,4,11,0,12,0,24,83
38,GUACHINANGO,0,0,0,1,0,0,0,0,0,1,1,4,1,0,0,1,9
39,GUADALAJARA,369,6,513,2212,14,104,493,1656,6865,7717,9526,1952,1452,858,101,2007,35845
40,HOSTOTIPAQUILLO,1,0,2,5,0,1,0,3,0,1,4,0,0,1,0,1,19
41,HUEJÚCAR,4,0,3,5,0,0,0,0,0,1,2,0,0,0,0,3,18
42,HUEJUQUILLA EL ALTO,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,2,7
43,LA HUERTA,6,0,15,10,0,0,0,1,1,2,3,15,0,0,0,10,63
44,IXTLAHUACÁN DE LOS MEMBRILLOS,23,1,13,41,0,9,0,1,22,26,69,49,0,7,3,47,311
45,IXTLAHUACÁN DEL RÍO,3,0,2,16,0,1,0,1,2,3,11,8,0,1,0,12,60
46,JALOSTOTITLÁN,4,0,4,49,0,1,1,1,7,3,29,15,0,9,0,17,140
47,JAMAY,2,0,1,17,0,3,0,1,8,2,22,8,0,14,0,6,84
48,JESÚS MARÍA,2,0,0,20,0,2,0,4,3,1,18,9,0,7,0,9,75
49,JILOTLÁN DE LOS DOLORES,1,0,3,2,0,0,0,0,0,0,5,0,0,0,0,0,11
50,JOCOTEPEC,13,0,18,68,0,0,0,9,19,5,43,77,1,8,2,22,285
51,JUANACATLÁN,5,0,13,17,0,0,0,0,8,9,28,14,0,11,2,34,141
52,JUCHITLÁN,1,0,2,1,0,0,0,0,0,0,3,1,1,1,0,1,11
53,LAGOS DE MORENO,26,0,77,227,0,34,0,18,93,43,155,132,0,144,3,116,1068
54,EL LIMÓN,2,0,1,1,0,0,0,0,0,1,1,4,1,2,0,2,15
55,MAGDALENA,7,0,1,12,0,4,0,6,7,4,14,4,1,2,0,8,70
56,SANTA MARÍA DEL ORO,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2
57,LA MANZANILLA DE LA PAZ,0,0,1,3,0,3,0,0,0,0,0,0,0,1,0,0,8
58,MASCOTA,2,0,2,13,0,0,0,0,1,0,0,2,0,0,1,2,23
59,MAZAMITLA,2,1,4,22,0,0,0,2,12,0,8,12,0,3,2,7,75
60,MEXTICACÁN,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,6
61,MEZQUITIC,5,0,2,13,0,0,0,0,0,0,0,0,0,0,2,4,26
62,MIXTLÁN,2,0,0,4,0,0,0,0,0,0,0,3,0,0,0,6,15
63,OCOTLÁN,18,0,9,130,0,5,0,9,35,17,47,68,3,90,1,73,505
64,OJUELOS DE JALISCO,7,0,4,38,0,5,0,0,2,2,9,7,0,1,2,6,83
65,PIHUAMO,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,9
66,PONCITLÁN,5,0,6,66,1,7,0,6,12,16,20,30,0,9,5,26,209
67,PUERTO VALLARTA,145,2,31,456,1,0,7,147,454,237,351,687,23,268,27,641,3477
68,VILLA PURIFICACIÓN,3,1,2,8,0,0,0,0,2,0,3,8,0,0,0,4,31
69,QUITUPAN,1,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,7
70,EL SALTO,54,2,111,300,0,34,1,71,360,342,429,350,22,212,8,346,2642
71,SAN CRISTÓBAL DE LA BARRANCA,2,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,6
72,SAN DIEGO DE ALEJANDRÍA,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5
73,SAN JUAN DE LOS LAGOS,14,0,0,51,0,4,2,1,12,6,56,24,0,43,3,27,243
74,SAN JULIÁN,0,0,0,6,0,0,0,2,0,1,11,2,0,2,0,2,26
75,SAN MARCOS,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,6
76,SAN MARTÍN DE BOLAÑOS,1,0,5,2,0,0,0,0,0,0,1,1,0,0,0,3,13
77,SAN MARTÍN DE HIDALGO,3,0,3,22,0,1,1,1,1,2,16,6,0,1,4,27,88
78,SAN MIGUEL EL ALTO,4,0,2,28,0,1,0,4,5,3,17,12,0,5,1,12,94
79,GÓMEZ FARÍAS,2,0,7,16,0,0,0,1,3,1,7,2,2,0,0,7,48
80,SAN SEBASTIÁN DEL OESTE,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3
81,SANTA MARÍA DE LOS ÁNGELES,1,0,0,2,0,0,0,0,1,0,3,2,0,0,0,0,9
82,SAYULA,2,0,8,44,0,1,4,2,7,8,18,17,1,17,1,18,148
83,TALA,27,0,15,76,0,7,0,7,20,40,93,74,5,47,2,57,470
84,TALPA DE ALLENDE,5,0,0,15,0,0,0,1,10,1,3,16,2,1,0,11,65
85,TAMAZULA DE GORDIANO,7,0,0,29,0,0,0,1,4,0,10,9,0,3,1,10,74
86,TAPALPA,3,0,2,9,0,0,0,0,1,4,12,4,0,2,0,2,39
87,TECALITLÁN,1,0,3,9,0,0,0,0,0,0,1,2,0,1,0,0,17
88,TECOLOTLÁN,6,0,2,16,0,1,0,1,0,1,18,4,0,0,1,11,61
89,TECHALUTA DE MONTENEGRO,1,0,2,1,0,0,0,1,0,0,5,2,0,2,0,0,14
90,TENAMAXTLÁN,2,0,3,1,0,0,0,0,0,0,4,0,0,0,0,3,13
91,TEOCALTICHE,2,0,1,25,0,0,0,1,3,5,4,0,0,1,0,4,46
92,TEOCUITATLÁN DE CORONA,1,0,4,3,0,0,0,0,0,0,5,1,0,0,0,1,15
93,TEPATITLÁN DE MORELOS,30,0,9,173,0,9,2,36,69,36,147,131,2,115,11,119,889
94,TEQUILA,10,0,4,61,0,3,1,7,18,20,34,22,0,6,0,32,218
95,TEUCHITLÁN,0,0,1,5,0,0,0,0,1,0,4,5,0,0,0,7,23
96,TIZAPÁN EL ALTO,2,0,0,13,0,0,0,0,1,0,5,0,0,4,1,20,46
97,TLAJOMULCO DE ZÚÑIGA,230,3,270,910,0,101,19,489,2011,987,1336,1094,174,450,30,1060,9164
98,SAN PEDRO TLAQUEPAQUE,173,3,335,812,5,113,88,504,2146,1507,2004,576,150,365,35,795,9611
99,TOLIMÁN,3,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,10
100,TOMATLÁN,9,0,9,22,0,0,0,0,4,1,10,6,4,1,0,23,89
101,TONALÁ,120,2,135,658,6,57,64,199,1325,1038,1750,544,64,312,20,723,7017
102,TONAYA,0,0,1,2,0,0,0,0,1,0,0,1,0,0,0,0,5
103,TONILA,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,1,9
104,TOTATICHE,2,0,1,3,0,0,0,0,0,0,0,1,0,0,0,2,9
105,TOTOTLÁN,5,0,4,21,0,0,1,1,5,2,11,7,0,1,2,5,65
106,TUXCACUESCO,2,0,1,0,0,0,1,0,1,0,1,0,0,0,0,3,9
107,TUXCUECA,4,0,0,3,0,0,0,0,0,0,7,3,0,0,1,7,25
108,TUXPAN,4,0,1,26,0,9,0,4,0,4,12,9,2,10,2,17,100
109,UNIÓN DE SAN ANTONIO,2,1,5,7,0,2,0,0,2,1,1,12,0,2,1,6,42
110,UNIÓN DE TULA,7,0,1,7,0,0,0,1,7,2,2,8,0,2,1,8,46
111,VALLE DE GUADALUPE,1,0,1,3,0,0,0,0,2,2,6,4,0,0,0,6,25
112,VALLE DE JUÁREZ,0,0,2,8,0,0,0,0,0,0,1,2,0,0,0,0,13
113,SAN GABRIEL,2,0,2,4,0,0,0,1,0,1,3,1,0,3,0,2,19
114,VILLA CORONA,5,0,2,21,0,0,0,2,6,5,15,19,0,0,0,11,86
115,VILLA GUERRERO,4,0,1,8,0,0,0,0,2,0,0,0,0,0,0,3,18
116,VILLA HIDALGO,0,0,1,7,0,0,0,0,0,0,5,1,0,0,1,3,18
117,CAÑADAS DE OBREGÓN,1,0,0,2,0,0,0,0,0,0,3,0,0,0,1,1,8
118,YAHUALICA DE GONZÁLEZ GALLO,4,0,1,22,0,0,0,0,3,2,9,12,0,10,0,14,77
119,ZACOALCO DE TORRES,8,0,4,28,0,2,0,3,15,4,15,7,0,3,2,24,115
120,ZAPOPAN,416,3,223,1299,6,63,220,1211,3308,2935,3749,1667,479,522,73,1626,17800
121,ZAPOTILTIC,10,0,4,34,0,4,0,10,24,4,12,22,1,7,1,35,168
122,ZAPOTITLÁN DE VADILLO,2,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,8
123,ZAPOTLÁN DEL REY,3,0,2,9,0,1,0,0,2,0,3,4,0,0,0,9,33
124,ZAPOTLANEJO,14,0,5,57,0,18,1,9,42,36,65,42,4,56,2,42,393
125,SAN IGNACIO CERRO GORDO,1,0,2,5,0,1,0,3,2,1,4,3,0,1,0,5,28
999,NO IDENTIFICADO,130,0,13,134,0,13,11,102,220,607,137,80,87,14,18,104,1670
